Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Kids,Status,Family_size,Expenses,Total_Purchases,Engaged_in_days,TotalAcceptedCmp,AmountPerPurchase
1950,Graduation,Relationship,80763.0,0,0,2013-08-15,17,674,168,108,192,42,231,1,5,11,6,3,0,0,1,1,0,0,1,73,0,2,2,1415,23,3626 days 14:46:24.812721,3,61.52173913043478
1974,PhD,Relationship,65352.0,0,1,2013-08-21,43,284,3,84,4,7,23,2,4,2,8,4,0,0,0,0,0,0,0,49,1,2,3,405,16,3620 days 14:46:24.812721,0,25.3125
1978,PhD,Relationship,82170.0,0,0,2013-11-25,13,1023,93,651,49,55,37,1,5,6,7,2,0,0,0,0,0,0,0,45,0,2,2,1908,19,3524 days 14:46:24.812721,0,100.42105263157895
1969,Graduation,Relationship,75759.0,0,0,2013-10-25,46,1394,22,708,89,91,182,1,9,7,9,5,1,0,1,1,0,0,1,54,0,2,2,2486,26,3555 days 14:46:24.812721,4,95.61538461538461
1976,Master,Single,79689.0,0,0,2013-05-12,65,311,26,640,180,37,121,1,4,9,13,2,0,0,0,0,0,0,0,47,0,1,1,1315,27,3721 days 14:46:24.812721,0,48.7037037037037
1956,PhD,Single,35340.0,1,1,2014-06-29,1,27,0,12,0,1,5,2,2,0,3,5,0,0,0,0,0,0,0,67,2,1,3,45,7,3308 days 14:46:24.812721,0,6.428571428571429
1954,Graduation,Single,85683.0,0,0,2014-03-21,6,1296,17,311,45,69,51,1,2,4,10,1,0,1,1,1,1,0,1,69,0,1,1,1789,17,3408 days 14:46:24.812721,5,105.23529411764706
1972,Master,Relationship,24884.0,1,0,2012-11-29,32,3,6,7,0,0,3,1,0,0,3,7,0,0,0,0,0,0,0,51,1,2,3,19,4,3885 days 14:46:24.812721,0,4.75
1981,Master,Relationship,42021.0,1,0,2012-08-31,34,393,5,136,7,5,27,5,10,1,6,9,1,0,0,0,0,0,0,42,1,2,3,573,22,3975 days 14:46:24.812721,1,26.045454545454547
1989,Graduation,Single,64449.0,1,0,2014-02-18,70,218,63,282,137,35,70,4,5,3,12,4,0,0,0,0,0,0,0,34,1,1,2,805,24,3439 days 14:46:24.812721,0,33.541666666666664
1954,Graduation,Single,64587.0,1,1,2014-06-22,49,66,0,16,0,6,20,2,1,1,4,3,0,0,0,0,0,0,0,69,2,1,3,108,8,3315 days 14:46:24.812721,0,13.5
1995,Graduation,Single,34824.0,0,0,2014-03-26,65,4,2,11,2,0,4,1,1,0,2,6,0,0,0,0,0,0,0,28,0,1,1,23,4,3403 days 14:46:24.812721,0,5.75
1978,Graduation,Relationship,75437.0,0,0,2013-11-09,25,795,0,545,95,58,0,1,8,4,10,6,0,0,0,1,0,0,0,45,0,2,2,1493,23,3540 days 14:46:24.812721,1,64.91304347826087
1957,Graduation,Relationship,26091.0,1,1,2014-02-25,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,66,2,2,4,89,9,3432 days 14:46:24.812721,0,9.88888888888889
1973,Graduation,Relationship,52845.0,1,0,2013-08-13,7,384,25,292,130,41,64,3,8,8,6,6,1,0,0,0,0,0,0,50,1,2,3,936,25,3628 days 14:46:24.812721,1,37.44
1956,Graduation,Single,46086.0,0,1,2013-11-03,34,244,8,32,7,2,50,4,3,1,8,4,0,0,0,0,0,0,0,67,1,1,2,343,16,3546 days 14:46:24.812721,0,21.4375
1956,PhD,Single,78028.0,0,1,2012-09-10,38,158,19,288,25,0,38,1,6,4,9,7,0,1,1,0,0,0,1,67,1,1,2,528,20,3965 days 14:46:24.812721,3,26.4
1987,PhD,Single,95169.0,0,0,2013-10-09,1,1285,21,449,106,20,20,1,4,3,4,1,0,0,1,1,0,0,1,36,0,1,1,1901,12,3571 days 14:46:24.812721,3,158.41666666666666
1981,Master,Relationship,56337.0,1,1,2013-03-27,25,349,16,144,28,5,182,5,8,5,4,8,1,0,0,1,0,0,1,42,2,2,4,724,22,3767 days 14:46:24.812721,3,32.90909090909091
1987,Graduation,Relationship,22434.0,1,0,2013-02-13,25,4,12,11,3,13,15,2,2,0,3,8,0,0,0,0,0,0,0,36,1,2,3,58,7,3809 days 14:46:24.812721,0,8.285714285714286
1954,PhD,Relationship,36930.0,0,1,2013-05-17,50,223,2,31,0,2,39,5,5,2,4,8,0,0,0,0,0,0,0,69,1,2,3,297,16,3716 days 14:46:24.812721,0,18.5625
1954,Graduation,Single,36130.0,0,1,2013-02-02,46,157,43,127,68,56,37,6,3,8,4,4,1,0,0,0,0,0,1,69,1,1,2,488,21,3820 days 14:46:24.812721,2,23.238095238095237
1953,Master,Relationship,65569.0,0,1,2012-11-05,96,397,46,288,20,38,70,2,6,5,10,3,0,0,0,0,0,0,0,70,1,2,3,859,23,3909 days 14:46:24.812721,0,37.34782608695652
1952,Graduation,Relationship,83844.0,0,0,2013-05-12,57,901,31,345,75,31,191,1,4,4,11,1,0,0,1,0,0,0,0,71,0,2,2,1574,20,3721 days 14:46:24.812721,1,78.7
1968,Graduation,Relationship,19514.0,1,1,2014-01-26,47,14,3,21,2,1,28,4,3,1,2,8,1,0,0,0,0,0,0,55,2,2,4,69,10,3462 days 14:46:24.812721,1,6.9
1963,PhD,Single,36736.0,1,1,2013-05-10,52,10,0,3,0,0,4,1,1,0,2,6,0,0,0,0,0,0,0,60,2,1,3,17,4,3723 days 14:46:24.812721,0,4.25
1979,Graduation,Relationship,77568.0,0,1,2012-08-25,30,1230,0,396,232,178,158,1,10,2,8,5,0,1,1,1,0,0,0,44,1,2,3,2194,21,3981 days 14:46:24.812721,3,104.47619047619048
1976,PhD,Relationship,49187.0,0,1,2014-01-11,63,81,1,31,2,1,0,1,1,1,5,2,0,0,0,0,0,0,0,47,1,2,3,116,8,3477 days 14:46:24.812721,0,14.5
1978,Graduation,Single,30168.0,1,0,2013-03-07,51,154,20,66,0,12,27,7,6,1,4,9,0,0,0,0,0,0,0,45,1,1,2,279,18,3787 days 14:46:24.812721,0,15.5
1968,Master,Relationship,34053.0,0,1,2012-09-10,14,63,0,21,7,0,12,1,3,0,3,8,0,0,0,0,0,0,0,55,1,2,3,103,7,3965 days 14:46:24.812721,0,14.714285714285714
1971,Master,Relationship,38196.0,1,1,2014-04-18,20,30,0,11,0,0,3,3,2,0,4,5,0,0,0,0,0,0,0,52,2,2,4,44,9,3380 days 14:46:24.812721,0,4.888888888888889
1951,Master,Relationship,59412.0,0,0,2014-04-19,56,90,67,165,30,43,11,1,4,2,8,3,0,0,0,0,0,0,0,72,0,2,2,406,15,3379 days 14:46:24.812721,0,27.066666666666666
1965,Master,Relationship,70924.0,0,0,2014-04-07,41,635,114,254,132,152,76,1,6,6,7,3,0,0,1,0,0,0,0,58,0,2,2,1363,20,3391 days 14:46:24.812721,1,68.15
1969,Graduation,Relationship,54165.0,0,0,2013-05-28,72,127,4,73,15,6,11,1,2,1,7,2,0,0,0,0,0,0,0,54,0,2,2,236,11,3705 days 14:46:24.812721,0,21.454545454545453
1973,Graduation,Relationship,32300.0,1,0,2013-01-03,1,13,3,6,6,5,6,1,1,0,3,8,0,0,0,0,0,0,0,50,1,2,3,39,5,3850 days 14:46:24.812721,0,7.8
1976,Graduation,Single,20180.0,0,0,2013-02-20,27,18,42,24,15,20,18,1,2,1,4,7,0,0,0,0,0,0,0,47,0,1,1,137,8,3802 days 14:46:24.812721,0,17.125
1973,Graduation,Relationship,34961.0,1,0,2014-06-19,77,45,2,26,4,1,1,3,3,1,3,7,0,0,0,0,0,0,0,50,1,2,3,79,10,3318 days 14:46:24.812721,0,7.9
1974,PhD,Relationship,28440.0,1,0,2013-07-07,87,38,1,24,0,0,0,1,2,0,3,8,0,0,0,0,0,0,0,49,1,2,3,63,6,3665 days 14:46:24.812721,0,10.5
1953,PhD,Relationship,64504.0,1,2,2013-03-04,81,986,36,168,16,0,108,7,11,3,4,7,0,0,0,0,0,0,1,70,3,2,5,1314,25,3790 days 14:46:24.812721,1,52.56
1966,Master,Relationship,33564.0,0,1,2014-06-24,51,61,0,3,0,0,7,1,1,1,3,5,0,0,0,0,0,0,0,57,1,2,3,71,6,3313 days 14:46:24.812721,0,11.833333333333334
1978,Graduation,Relationship,17345.0,1,0,2012-11-03,79,4,9,16,17,0,12,2,2,1,2,8,0,0,0,0,0,0,0,45,1,2,3,58,7,3911 days 14:46:24.812721,0,8.285714285714286
1967,PhD,Relationship,56320.0,0,1,2013-04-08,11,201,53,172,116,77,83,3,5,4,9,4,0,0,0,0,0,0,0,56,1,2,3,702,21,3755 days 14:46:24.812721,0,33.42857142857143
1978,Graduation,Single,28647.0,1,0,2013-08-21,54,19,8,29,0,12,26,1,2,2,2,7,1,0,0,0,0,0,1,45,1,1,2,94,7,3620 days 14:46:24.812721,2,13.428571428571429
1987,Basic,Single,15038.0,1,0,2013-01-29,93,4,8,11,19,12,26,2,2,1,2,9,0,0,0,0,0,0,0,36,1,1,2,80,7,3824 days 14:46:24.812721,0,11.428571428571429
1958,PhD,Single,32173.0,0,1,2013-08-01,0,18,0,2,0,0,2,1,1,0,3,4,0,0,0,0,0,0,0,65,1,1,2,22,5,3640 days 14:46:24.812721,0,4.4
1964,Master,Relationship,68316.0,0,1,2012-11-04,54,806,80,161,120,11,33,5,10,7,10,6,0,0,0,0,0,0,0,59,1,2,3,1211,32,3910 days 14:46:24.812721,0,37.84375
1971,Graduation,Relationship,74538.0,0,0,2013-06-29,21,380,98,733,110,112,28,1,8,8,5,3,0,0,1,0,0,0,1,52,0,2,2,1461,22,3673 days 14:46:24.812721,2,66.4090909090909
1971,Graduation,Single,91700.0,0,0,2013-01-17,58,576,172,961,125,115,19,1,8,6,5,3,0,0,0,0,0,0,1,52,0,1,1,1968,20,3836 days 14:46:24.812721,1,98.4
1969,Graduation,Relationship,68695.0,0,0,2014-06-25,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,54,0,2,2,1091,16,3312 days 14:46:24.812721,0,68.1875
1977,Master,Relationship,31056.0,1,0,2013-01-22,99,5,10,13,3,8,16,1,1,0,3,8,0,0,0,0,0,0,0,46,1,2,3,55,5,3831 days 14:46:24.812721,0,11.0
1973,Graduation,Relationship,79593.0,0,0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,50,0,2,2,1366,19,3356 days 14:46:24.812721,1,71.89473684210526
1980,Graduation,Single,28071.0,0,0,2012-08-29,65,39,33,130,41,26,44,2,5,1,5,8,0,0,0,0,0,0,0,43,0,1,1,313,13,3977 days 14:46:24.812721,0,24.076923076923077
1958,PhD,Relationship,37334.0,1,1,2014-02-26,44,26,1,16,2,2,15,4,3,0,4,4,0,0,0,0,0,0,0,65,2,2,4,62,11,3431 days 14:46:24.812721,0,5.636363636363637
1972,Master,Single,46423.0,1,1,2013-09-18,6,68,0,16,0,0,8,3,2,0,4,7,0,0,0,0,0,0,0,51,2,1,3,92,9,3592 days 14:46:24.812721,0,10.222222222222221
1971,PhD,Relationship,37126.0,1,0,2014-03-30,9,45,3,9,4,4,7,1,1,2,2,6,1,0,0,0,0,0,1,52,1,2,3,72,6,3399 days 14:46:24.812721,2,12.0
1953,Graduation,Relationship,47703.0,0,1,2013-05-29,95,359,0,134,13,26,123,4,6,3,8,5,0,0,0,0,0,0,0,70,1,2,3,655,21,3704 days 14:46:24.812721,0,31.19047619047619
1959,Graduation,Relationship,61180.0,0,1,2014-04-23,70,403,24,29,6,24,218,2,5,5,6,3,1,0,0,0,0,0,0,64,1,2,3,704,18,3375 days 14:46:24.812721,1,39.111111111111114
1954,Graduation,Relationship,38998.0,1,1,2012-11-03,92,34,1,14,0,0,5,3,2,0,3,8,0,0,0,0,0,1,0,69,2,2,4,54,8,3911 days 14:46:24.812721,0,6.75
1991,Graduation,Single,8028.0,0,0,2012-09-18,62,73,18,66,7,12,2,15,0,1,0,19,0,0,0,0,0,0,0,32,0,1,1,178,16,3957 days 14:46:24.812721,0,11.125
1962,Graduation,Relationship,76081.0,0,0,2014-05-23,85,292,30,415,63,33,200,1,4,5,4,2,0,0,0,1,0,0,0,61,0,2,2,1033,14,3345 days 14:46:24.812721,1,73.78571428571429
1986,Graduation,Relationship,34728.0,1,0,2013-07-30,2,14,0,16,0,0,6,1,1,1,2,6,0,0,0,0,0,0,1,37,1,2,3,36,5,3642 days 14:46:24.812721,1,7.2
1965,Master,Single,33168.0,0,1,2012-10-13,0,80,1,37,0,1,3,3,2,1,4,7,0,0,0,0,0,0,0,58,1,1,2,122,10,3932 days 14:46:24.812721,0,12.2
1966,Master,Relationship,33585.0,0,1,2013-09-25,91,30,11,33,13,6,29,1,2,0,4,4,0,0,0,0,0,0,0,57,1,2,3,122,7,3585 days 14:46:24.812721,0,17.428571428571427
1960,PhD,Relationship,77037.0,0,1,2013-10-13,3,463,96,333,168,53,10,1,7,7,12,3,0,0,0,0,0,0,0,63,1,2,3,1123,27,3567 days 14:46:24.812721,0,41.592592592592595
1984,Graduation,Relationship,35196.0,1,0,2012-11-13,68,75,12,141,43,39,187,6,6,1,5,8,0,0,0,0,0,0,1,39,1,2,3,497,18,3901 days 14:46:24.812721,1,27.61111111111111
1966,Graduation,Relationship,44529.0,0,1,2013-07-05,98,538,13,91,17,6,26,6,6,2,11,5,0,1,0,0,0,0,0,57,1,2,3,691,25,3667 days 14:46:24.812721,1,27.64
1965,Master,Relationship,70924.0,0,0,2014-04-07,41,635,114,254,132,152,76,1,6,6,7,3,0,0,1,0,0,0,0,58,0,2,2,1363,20,3391 days 14:46:24.812721,1,68.15
1966,PhD,Relationship,28764.0,1,1,2014-06-05,16,8,0,3,0,0,1,1,1,0,2,8,1,0,0,0,0,0,0,57,2,2,4,12,4,3332 days 14:46:24.812721,1,3.0
1949,PhD,Relationship,69098.0,0,0,2013-02-16,82,1315,22,780,145,0,178,1,7,8,9,5,0,0,0,0,0,0,0,74,0,2,2,2440,25,3806 days 14:46:24.812721,0,97.6
1970,Master,Single,25959.0,1,1,2013-02-14,1,4,2,12,7,5,26,2,1,2,2,6,0,0,0,0,0,0,1,53,2,1,3,56,7,3808 days 14:46:24.812721,1,8.0
1983,Master,Relationship,27100.0,1,0,2013-04-05,64,12,0,13,2,0,10,1,1,0,3,7,0,0,0,0,0,0,0,40,1,2,3,37,5,3758 days 14:46:24.812721,0,7.4
1985,Graduation,Single,70596.0,0,0,2012-10-05,68,347,44,534,17,0,26,1,3,5,12,2,0,0,0,0,0,0,0,38,0,1,1,968,21,3940 days 14:46:24.812721,0,46.095238095238095
1974,Graduation,Relationship,42557.0,0,1,2012-08-29,98,192,5,53,0,5,15,4,6,1,4,8,0,0,0,0,0,0,0,49,1,2,3,270,15,3977 days 14:46:24.812721,0,18.0
1951,PhD,Relationship,53312.0,0,0,2013-08-09,32,241,0,12,0,0,25,1,5,1,5,7,0,0,0,0,0,0,0,72,0,2,2,278,12,3632 days 14:46:24.812721,0,23.166666666666668
1952,Graduation,Single,72228.0,0,0,2012-11-27,87,631,28,491,30,14,56,1,6,7,8,3,0,0,0,0,0,0,0,71,0,1,1,1250,22,3887 days 14:46:24.812721,0,56.81818181818182
1987,Graduation,Relationship,67605.0,0,0,2013-03-31,84,336,28,282,184,54,54,1,2,8,6,1,0,0,0,0,0,0,0,36,0,2,2,938,17,3763 days 14:46:24.812721,0,55.1764705882353
1949,Master,Relationship,62845.0,1,1,2012-10-01,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,0,0,74,2,2,4,1178,28,3944 days 14:46:24.812721,1,42.07142857142857
1958,Graduation,Relationship,65196.0,0,2,2013-07-25,34,743,19,181,12,0,200,2,7,6,11,5,1,0,0,0,0,0,0,65,2,2,4,1155,26,3647 days 14:46:24.812721,1,44.42307692307692
1987,PhD,Single,42000.0,0,0,2013-01-10,23,124,83,267,85,59,35,2,5,2,11,5,0,0,0,0,0,0,1,36,0,1,1,653,20,3843 days 14:46:24.812721,1,32.65
1973,PhD,Single,35860.0,1,1,2014-05-19,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,0,50,2,1,3,49,6,3349 days 14:46:24.812721,1,8.166666666666666
1964,PhD,Relationship,65526.0,0,1,2014-04-11,22,397,19,69,12,0,9,1,4,4,8,2,0,0,0,0,0,0,0,59,1,2,3,506,17,3387 days 14:46:24.812721,0,29.764705882352942
1961,Graduation,Relationship,16860.0,1,1,2012-09-12,19,10,4,4,3,3,14,3,1,1,3,7,0,0,0,0,0,0,0,62,2,2,4,38,8,3963 days 14:46:24.812721,0,4.75
1992,Graduation,Single,83528.0,0,0,2014-05-01,7,530,117,678,134,44,147,1,4,10,8,1,1,0,0,1,0,0,1,31,0,1,1,1650,23,3367 days 14:46:24.812721,3,71.73913043478261
1965,Master,Single,64176.0,0,1,2012-08-03,52,1215,33,249,64,116,149,8,8,9,8,6,0,0,0,0,0,0,0,58,1,1,2,1826,33,4003 days 14:46:24.812721,0,55.333333333333336
1956,Graduation,Single,22304.0,0,0,2012-08-04,91,3,2,7,0,4,2,1,1,0,2,8,0,0,0,0,0,0,0,67,0,1,1,18,4,4002 days 14:46:24.812721,0,4.5
1978,Graduation,Relationship,67023.0,0,0,2014-03-04,93,444,44,382,11,8,17,1,3,7,13,2,0,0,0,0,0,1,0,45,0,2,2,906,24,3425 days 14:46:24.812721,0,37.75
1971,PhD,Relationship,32892.0,1,0,2014-05-25,78,26,0,15,2,1,2,2,3,0,3,8,0,0,0,0,0,0,0,52,1,2,3,46,8,3343 days 14:46:24.812721,0,5.75
1966,Graduation,Relationship,70713.0,0,1,2012-12-03,23,736,114,279,82,76,190,6,5,6,8,3,0,0,0,0,0,0,0,57,1,2,3,1477,25,3881 days 14:46:24.812721,0,59.08
1955,Graduation,Relationship,59925.0,0,1,2012-11-30,83,473,21,176,19,21,56,3,9,2,9,6,0,0,0,0,0,0,0,68,1,2,3,766,23,3884 days 14:46:24.812721,0,33.30434782608695
1953,Graduation,Relationship,39722.0,0,1,2014-02-24,92,32,0,5,2,0,8,2,2,0,3,5,0,0,0,0,0,0,0,70,1,2,3,47,7,3433 days 14:46:24.812721,0,6.714285714285714
1958,Graduation,Relationship,46610.0,0,0,2013-07-18,4,288,10,30,4,10,125,1,6,1,6,6,0,0,0,0,0,0,0,65,0,2,2,467,14,3654 days 14:46:24.812721,0,33.357142857142854
1961,Graduation,Relationship,88347.0,0,0,2013-07-03,32,1050,178,555,77,138,118,1,4,7,9,1,0,0,0,1,0,0,0,62,0,2,2,2116,21,3669 days 14:46:24.812721,1,100.76190476190476
1981,PhD,Relationship,87171.0,0,0,2013-05-01,27,1001,44,107,58,44,44,1,6,7,11,2,1,0,1,0,0,0,0,42,0,2,2,1298,25,3732 days 14:46:24.812721,2,51.92
1976,Master,Relationship,26907.0,1,1,2013-08-20,10,9,1,7,0,3,2,2,1,0,3,7,0,0,0,0,0,0,0,47,2,2,4,22,6,3621 days 14:46:24.812721,0,3.6666666666666665
1968,Master,Single,50014.0,1,0,2014-01-22,9,234,14,77,19,10,42,2,4,1,8,5,0,0,0,0,0,0,0,55,1,1,2,396,15,3466 days 14:46:24.812721,0,26.4
1978,PhD,Relationship,41014.0,1,0,2013-04-22,65,7,2,6,2,0,3,1,1,0,2,7,0,0,0,0,0,0,0,45,1,2,3,20,4,3741 days 14:46:24.812721,0,5.0
1965,Graduation,Single,66294.0,0,0,2014-03-17,68,251,108,334,65,92,117,1,4,3,5,2,0,0,0,0,0,0,0,58,0,1,1,967,13,3412 days 14:46:24.812721,0,74.38461538461539
1971,Graduation,Relationship,36715.0,1,0,2012-11-17,16,172,10,125,21,13,16,6,7,2,4,9,0,0,0,0,0,0,1,52,1,2,3,357,19,3897 days 14:46:24.812721,1,18.789473684210527
1956,Graduation,Relationship,79456.0,0,0,2012-08-22,12,565,42,548,64,83,99,1,5,6,4,3,0,0,0,0,0,0,1,67,0,2,2,1401,16,3984 days 14:46:24.812721,1,87.5625
1982,Graduation,Relationship,40479.0,1,0,2013-08-17,95,5,0,8,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,41,1,2,3,15,4,3624 days 14:46:24.812721,0,3.75
1970,Master,Single,75345.0,0,0,2013-02-02,16,918,57,842,99,38,133,1,5,8,6,3,0,0,0,1,0,0,1,53,0,1,1,2087,20,3820 days 14:46:24.812721,2,104.35
1977,Graduation,Relationship,54233.0,0,1,2013-02-04,46,652,8,158,21,0,142,4,11,6,5,8,0,0,0,0,0,0,0,46,1,2,3,981,26,3818 days 14:46:24.812721,0,37.73076923076923
1970,Graduation,Single,24163.0,1,1,2013-10-12,3,4,1,7,2,1,2,2,1,0,3,4,0,0,0,0,0,0,0,53,2,1,3,17,6,3568 days 14:46:24.812721,0,2.8333333333333335
1958,PhD,Relationship,84460.0,0,0,2013-01-04,80,152,27,103,106,54,81,0,9,9,4,5,0,1,1,1,1,0,1,65,0,2,2,523,22,3849 days 14:46:24.812721,5,23.772727272727273
1983,Graduation,Relationship,43776.0,1,0,2014-05-03,77,8,0,9,2,1,3,1,1,0,2,6,0,0,0,0,0,0,0,40,1,2,3,23,4,3365 days 14:46:24.812721,0,5.75
1958,PhD,Single,71691.0,0,0,2014-03-17,0,336,130,411,240,32,43,1,4,7,5,2,0,0,0,0,0,0,1,65,0,1,1,1192,17,3412 days 14:46:24.812721,1,70.11764705882354
1973,PhD,Relationship,85844.0,0,0,2014-05-29,62,938,19,843,25,95,38,1,6,6,7,2,0,0,1,0,0,0,0,50,0,2,2,1958,20,3339 days 14:46:24.812721,1,97.9
1974,PhD,Single,39190.0,1,0,2014-04-26,91,68,8,18,19,8,12,2,2,1,4,5,0,0,0,0,0,0,0,49,1,1,2,133,9,3372 days 14:46:24.812721,0,14.777777777777779
1959,Graduation,Relationship,71367.0,0,0,2013-08-23,24,227,23,389,42,21,75,1,4,5,7,2,0,0,0,0,0,0,0,64,0,2,2,777,17,3618 days 14:46:24.812721,0,45.705882352941174
1972,PhD,Single,38578.0,1,1,2013-06-22,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,0,0,51,2,1,3,73,9,3680 days 14:46:24.812721,0,8.11111111111111
1965,PhD,Relationship,57236.0,1,1,2014-03-12,22,105,0,9,2,1,4,3,2,1,4,3,0,0,0,0,0,0,0,58,2,2,4,121,10,3417 days 14:46:24.812721,0,12.1
1979,Graduation,Single,61825.0,0,1,2013-08-07,56,162,50,100,55,30,27,1,4,2,8,4,0,0,0,0,0,0,0,44,1,1,2,424,15,3634 days 14:46:24.812721,0,28.266666666666666
1958,Graduation,Single,79803.0,0,1,2014-06-02,54,574,8,216,21,16,33,1,4,3,5,1,0,0,0,0,0,0,0,65,1,1,2,868,13,3335 days 14:46:24.812721,0,66.76923076923077
1986,Master,Single,80910.0,0,0,2012-10-31,71,160,80,369,67,39,41,1,3,3,8,1,0,0,0,0,0,0,0,37,0,1,1,756,15,3914 days 14:46:24.812721,0,50.4
1982,Master,Relationship,27590.0,1,0,2013-04-23,38,6,0,5,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,41,1,2,3,12,4,3740 days 14:46:24.812721,0,3.0
1979,Graduation,Relationship,56775.0,0,1,2013-01-02,62,614,35,160,58,35,35,2,5,8,10,5,0,0,0,0,0,0,0,44,1,2,3,937,25,3851 days 14:46:24.812721,0,37.48
1975,Graduation,Single,83829.0,0,0,2013-10-08,78,897,161,430,186,161,27,0,4,7,6,1,1,0,1,1,0,0,1,48,0,1,1,1862,17,3572 days 14:46:24.812721,4,109.52941176470588
1979,Master,Relationship,54210.0,0,1,2013-05-20,18,70,54,109,80,9,45,2,4,1,7,5,0,0,0,0,0,0,0,44,1,2,3,367,14,3713 days 14:46:24.812721,0,26.214285714285715
1986,Graduation,Relationship,38508.0,1,0,2013-08-02,95,120,19,206,25,19,54,6,7,2,5,8,0,0,0,0,0,0,0,37,1,2,3,443,20,3639 days 14:46:24.812721,0,22.15
1970,Graduation,Relationship,53187.0,1,0,2013-10-26,66,211,2,30,7,7,10,2,4,1,6,5,0,0,0,0,0,0,0,53,1,2,3,267,13,3554 days 14:46:24.812721,0,20.53846153846154
1972,Graduation,Relationship,30023.0,1,0,2014-03-24,28,11,0,16,7,6,21,1,2,0,3,8,0,0,0,0,0,0,0,51,1,2,3,61,6,3405 days 14:46:24.812721,0,10.166666666666666
1960,PhD,Single,76045.0,0,0,2013-11-15,78,760,53,400,17,93,0,1,4,5,11,2,0,0,0,1,0,0,0,63,0,1,1,1323,21,3534 days 14:46:24.812721,1,63.0
1952,PhD,Relationship,50870.0,0,1,2014-06-19,13,53,0,8,0,0,2,1,2,0,3,5,0,0,0,0,0,0,0,71,1,2,3,63,6,3318 days 14:46:24.812721,0,10.5
1970,Master,Relationship,15315.0,0,0,2013-08-03,27,7,4,13,15,8,17,2,2,0,4,5,0,0,0,0,0,0,0,53,0,2,2,64,8,3638 days 14:46:24.812721,0,8.0
1974,Master,Relationship,65463.0,1,0,2014-01-30,17,391,32,70,21,32,16,2,6,2,9,5,0,1,0,0,0,0,0,49,1,2,3,562,19,3458 days 14:46:24.812721,1,29.57894736842105
1965,Graduation,Relationship,66480.0,1,1,2014-05-31,71,199,9,57,20,21,6,7,4,1,7,4,0,0,0,0,0,0,0,58,2,2,4,312,19,3337 days 14:46:24.812721,0,16.42105263157895
1954,Graduation,Single,76773.0,0,0,2013-02-25,79,516,56,449,86,33,16,1,2,2,11,1,0,0,0,0,0,0,0,69,0,1,1,1156,16,3797 days 14:46:24.812721,0,72.25
1983,Master,Single,81698.0,0,0,2013-03-01,1,709,45,115,30,160,45,1,8,2,5,5,0,0,0,1,0,0,1,40,0,1,1,1104,16,3793 days 14:46:24.812721,2,69.0
1973,PhD,Single,54466.0,1,1,2014-02-09,78,12,0,4,0,0,0,1,1,0,2,5,0,0,0,0,0,0,0,50,2,1,3,16,4,3448 days 14:46:24.812721,0,4.0
1960,Master,Single,98777.0,0,0,2014-02-17,23,1000,19,711,125,115,38,0,4,6,9,1,0,1,0,0,0,0,0,63,0,1,1,2008,19,3440 days 14:46:24.812721,1,105.6842105263158
1984,PhD,Single,16269.0,1,0,2013-08-30,75,19,3,18,3,1,0,3,3,0,3,8,0,0,0,0,0,0,0,39,1,1,2,44,9,3611 days 14:46:24.812721,0,4.888888888888889
1971,Graduation,Relationship,71819.0,0,1,2013-08-28,70,1224,28,140,0,14,168,3,3,3,5,6,0,1,1,0,0,0,0,52,1,2,3,1574,14,3613 days 14:46:24.812721,2,112.42857142857143
1983,PhD,Relationship,33569.0,1,0,2013-10-16,10,16,2,18,3,0,24,1,1,1,2,8,1,0,0,0,0,0,1,40,1,2,3,63,5,3564 days 14:46:24.812721,2,12.6
1983,Master,Relationship,36262.0,0,0,2013-09-20,24,88,39,54,64,28,153,1,3,5,3,6,1,0,0,0,0,0,1,40,0,2,2,426,12,3590 days 14:46:24.812721,2,35.5
1966,Basic,Relationship,22634.0,0,0,2013-01-16,47,2,23,11,8,6,46,1,2,1,2,8,0,0,0,0,0,0,0,57,0,2,2,96,6,3837 days 14:46:24.812721,0,16.0
1978,Master,Relationship,47025.0,0,1,2013-09-12,98,508,11,59,23,5,29,5,11,1,6,9,0,0,0,0,0,0,0,45,1,2,3,635,23,3598 days 14:46:24.812721,0,27.608695652173914
1968,Graduation,Single,70566.0,0,1,2013-10-06,4,381,28,215,84,28,21,2,6,5,9,3,0,0,0,0,0,0,0,55,1,1,2,757,22,3574 days 14:46:24.812721,0,34.40909090909091
